Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_IA5819AA	N13-01353	SRR5241825;ILLUMINA;Paired;;SRX2548674;735760500;250;SRA	SAL_IA5819AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279036	SRS1967242	2017-02-14	2017-02-08	Assembled	154	739607	4767187	Salmonella enterica;96.3%	37	2726	3.61	SAL_QA5378AA_AS
SAL_IA5820AA	N13-01346	SRR5241824;ILLUMINA;Paired;;SRX2548673;622228500;250;SRA	SAL_IA5820AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279034	SRS1967241	2017-02-14	2017-02-08	Assembled	129	725308	4800906	Salmonella enterica;100.0%	39	3538	3.61	SAL_QA5377AA_AS
SAL_IA5821AA	N13-01338	SRR5241823;ILLUMINA;Paired;;SRX2548672;894117640;299;SRA	SAL_IA5821AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279033	SRS1967240	2017-02-14	2017-02-08	Assembled	187	725312	4760381	Salmonella enterica;100.0%	38	1361	3.61	SAL_QA5376AA_AS
SAL_IA5822AA	N13-01333	SRR5241822;ILLUMINA;Paired;;SRX2548671;654666000;250;SRA	SAL_IA5822AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279024	SRS1967239	2017-02-14	2017-02-08	Assembled	133	725307	4888864	Salmonella enterica;88.24%	65	5517	3.61	SAL_QA5375AA_AS
SAL_IA5823AA	N13-02936	SRR5241821;ILLUMINA;Paired;;SRX2548670;475855510;299;SRA	SAL_IA5823AA	Poultry	Poultry	Animal cecal content (chicken)	2011				North America	Canada	Ontario						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278988	SRS1967238	2017-02-14	2017-02-08	Assembled	97	298840	4863864	Salmonella enterica;94.87%	42	3221	3.61	SAL_QA5374AA_AS
SAL_IA5824AA	N13-02944	SRR5241820;ILLUMINA;Paired;;SRX2548669;801981772;298;SRA	SAL_IA5824AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	New Brunswick						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278991	SRS1967237	2017-02-14	2017-02-08	Assembled	164	694160	4860961	Salmonella enterica;96.97%	46	2302	3.61	SAL_QA5373AA_AS
SAL_IA5825AA	N13-02948	SRR5241819;ILLUMINA;Paired;;SRX2548668;300636726;299;SRA	SAL_IA5825AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Ontario						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278995	SRS1967236	2017-02-14	2017-02-08	Assembled	61	412096	4860610	Salmonella enterica;94.29%	45	4374	3.61	SAL_QA6238AA_AS
SAL_IA5958AA	N13-01308	SRR5239233;ILLUMINA;Paired;;SRX2546127;719712316;298;SRA	SAL_IA5958AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279040	SRS1964986	2017-02-14	2017-02-07	Assembled	147	725216	4866836	Salmonella enterica;97.22%	45	2644	3.61	SAL_QA6299AA_AS
SAL_IA5961AA	N13-01303	SRR5239230;ILLUMINA;Paired;;SRX2546124;1206784000;250;SRA	SAL_IA5961AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279037	SRS1964983	2017-02-14	2017-02-07	Assembled	248	725308	4860970	Salmonella enterica;96.88%	40	3125	3.61	SAL_QA5809AA_AS
SAL_IA5963AA	N13-01301	SRR5239228;ILLUMINA;Paired;;SRX2546122;601155918;297;SRA	SAL_IA5963AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279046	SRS1964981	2017-02-14	2017-02-07	Assembled	126	694142	4760439	Salmonella enterica;100.0%	41	2683	3.61	SAL_QA5807AA_AS
SAL_IA5964AA	N13-01318	SRR5239227;ILLUMINA;Paired;;SRX2546121;537096690;299;SRA	SAL_IA5964AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279042	SRS1964980	2017-02-14	2017-02-07	Assembled	110	694169	4867097	Salmonella enterica;93.55%	39	3245	3.61	SAL_QA6286AA_AS
SAL_IA5966AA	N13-01317	SRR5239225;ILLUMINA;Paired;;SRX2546119;659866764;298;SRA	SAL_IA5966AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279029	SRS1964978	2017-02-14	2017-02-07	Assembled	138	694047	4760019	Salmonella enterica;100.0%	39	1952	3.61	SAL_QA6296AA_AS
SAL_IA5969AA	N13-01316	SRR5239222;ILLUMINA;Paired;;SRX2546116;577945962;297;SRA	SAL_IA5969AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279018	SRS1964975	2017-02-14	2017-02-07	Assembled	118	694160	4872645	Salmonella enterica;97.14%	43	2571	3.61	SAL_QA6285AA_AS
SAL_IA5970AA	N13-01315	SRR5239221;ILLUMINA;Paired;;SRX2546115;845439000;250;SRA	SAL_IA5970AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279017	SRS1964974	2017-02-14	2017-02-07	Assembled	173	725307	4860793	Salmonella enterica;96.98%	44	3038	3.61	SAL_QA6256AA_AS
SAL_IA5972AA	N13-01298	SRR5239219;ILLUMINA;Paired;;SRX2546113;274608776;299;SRA	SAL_IA5972AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279028	SRS1964972	2017-02-14	2017-02-07	Assembled	57	694161	4759868	Salmonella enterica;100.0%	38	2388	3.61	SAL_QA5798AA_AS
SAL_IA5973AA	N13-01305	SRR5239218;ILLUMINA;Paired;;SRX2546112;568977266;299;SRA	SAL_IA5973AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279047	SRS1964971	2017-02-14	2017-02-07	Assembled	119	412204	4760442	Salmonella enterica;100.0%	42	2961	3.61	SAL_QA5797AA_AS
SAL_IA5974AA	N13-01292	SRR5239217;ILLUMINA;Paired;;SRX2546111;677408420;299;SRA	SAL_IA5974AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279013	SRS1964970	2017-02-14	2017-02-07	Assembled	139	693855	4855958	Salmonella enterica;97.06%	41	2657	3.61	SAL_QA5796AA_AS
SAL_IA5975AA	N13-01322	SRR5239216;ILLUMINA;Paired;;SRX2546110;529815820;251;SRA	SAL_IA5975AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279049	SRS1964969	2017-02-14	2017-02-07	Assembled	111	725307	4763149	Salmonella enterica;100.0%	41	4740	3.61	SAL_QA5795AA_AS
SAL_IA5976AA	N13-01319	SRR5239215;ILLUMINA;Paired;;SRX2546109;666841500;250;SRA	SAL_IA5976AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279043	SRS1964968	2017-02-14	2017-02-07	Assembled	136	725311	4869526	Salmonella enterica;97.05%	42	3513	3.61	SAL_QA5794AA_AS
SAL_IA5978AA	N13-01311	SRR5239213;ILLUMINA;Paired;;SRX2546107;847561328;248;SRA	SAL_IA5978AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278999	SRS1964966	2017-02-14	2017-02-07	Assembled	178	725299	4759630	Salmonella enterica;100.0%	36	3756	3.61	SAL_QA6400AA_AS
SAL_IA5979AA	N13-01309	SRR5239212;ILLUMINA;Paired;;SRX2546106;585748000;250;SRA	SAL_IA5979AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279041	SRS1964965	2017-02-14	2017-02-07	Assembled	119	725307	4908228	Salmonella enterica;94.11%	48	4673	3.61	SAL_QA5791AA_AS
SAL_IA5980AA	N13-01296	SRR5239211;ILLUMINA;Paired;;SRX2546105;669312000;250;SRA	SAL_IA5980AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279027	SRS1964964	2017-02-14	2017-02-07	Assembled	140	740519	4761470	Salmonella enterica;100.0%	39	3120	3.61	SAL_QA6259AA_AS
SAL_IA5981AA	N13-01297	SRR5239210;ILLUMINA;Paired;;SRX2546104;405090472;298;SRA	SAL_IA5981AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279015	SRS1964963	2017-02-14	2017-02-07	Assembled	83	693855	4855303	Salmonella enterica;91.67%	42	2769	3.61	SAL_QA6258AA_AS
SAL_IA5982AA	N13-01307	SRR5239209;ILLUMINA;Paired;;SRX2546103;683436180;298;SRA	SAL_IA5982AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279039	SRS1964962	2017-02-14	2017-02-07	Assembled	140	412096	4866972	Salmonella enterica;95.36%	53	2311	3.61	SAL_QA5788AA_AS
SAL_IA5983AA	N13-01291	SRR5239208;ILLUMINA;Paired;;SRX2546102;428590500;250;SRA	SAL_IA5983AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278998	SRS1964961	2017-02-14	2017-02-07	Assembled	90	689379	4759545	Salmonella enterica;100.0%	36	7982	3.61	SAL_QA5787AA_AS
SAL_IA5986AA	N13-01304	SRR5239205;ILLUMINA;Paired;;SRX2546099;504773260;298;SRA	SAL_IA5986AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279038	SRS1964958	2017-02-14	2017-02-07	Assembled	103	381667	4857351	Salmonella enterica;94.6%	50	4679	3.61	SAL_QA6283AA_AS
SAL_IA5989AA	N13-01294	SRR5239202;ILLUMINA;Paired;;SRX2546096;517645668;298;SRA	SAL_IA5989AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279026	SRS1964955	2017-02-14	2017-02-07	Assembled	109	686046	4723576	Salmonella enterica;96.67%	39	2850	3.61	SAL_QA6280AA_AS
SAL_IA5990AA	N13-01312	SRR5239201;ILLUMINA;Paired;;SRX2546095;929435000;250;SRA	SAL_IA5990AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279000	SRS1964954	2017-02-14	2017-02-07	Assembled	192	725299	4832280	Salmonella enterica;100.0%	39	3324	3.61	SAL_QA5780AA_AS
SAL_IA5991AA	N13-01321	SRR5239200;ILLUMINA;Paired;;SRX2546094;403753500;250;SRA	SAL_IA5991AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279020	SRS1964953	2017-02-14	2017-02-07	Assembled	83	659703	4857494	Salmonella enterica;100.0%	48	5358	3.61	SAL_QA5779AA_AS
SAL_IA5992AA	N13-01320	SRR5239199;ILLUMINA;Paired;;SRX2546093;814717500;250;SRA	SAL_IA5992AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279019	SRS1964952	2017-02-14	2017-02-07	Assembled	167	515183	4865452	Salmonella enterica;92.3%	52	4825	3.61	SAL_QA5778AA_AS
SAL_IA5993AA	N13-01306	SRR5239198;ILLUMINA;Paired;;SRX2546092;532577852;298;SRA	SAL_IA5993AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279048	SRS1964951	2017-02-14	2017-02-07	Assembled	111	694160	4760205	Salmonella enterica;96.29%	37	2643	3.61	SAL_QA6257AA_AS
SAL_IA5994AA	N13-01293	SRR5239197;ILLUMINA;Paired;;SRX2546091;816913448;299;SRA	SAL_IA5994AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279025	SRS1964950	2017-02-14	2017-02-07	Assembled	171	412138	4761132	Salmonella enterica;100.0%	44	2892	3.61	SAL_QA5776AA_AS
SAL_IA5995AA	N13-01295	SRR5239196;ILLUMINA;Paired;;SRX2546090;471081676;299;SRA	SAL_IA5995AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279014	SRS1964949	2017-02-14	2017-02-07	Assembled	96	694160	4859319	Salmonella enterica;93.55%	40	3023	3.61	SAL_QA5775AA_AS
SAL_IA5996AA	N13-01314	SRR5239195;ILLUMINA;Paired;;SRX2546089;751506002;299;SRA	SAL_IA5996AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279016	SRS1964948	2017-02-14	2017-02-07	Assembled	154	694160	4857734	Salmonella enterica;97.22%	46	2081	3.61	SAL_QA5774AA_AS
SAL_KA1196AA	FDA1011677-C001-001	SRR5758426;ILLUMINA;Paired;500;SRX2958388;443189654;229;SRA	SAL_KA1196AA	Animal Feed	Avian	chicken breast:foodon_00002703, dog treat:foodon_00002712; animal feed; chicken breast dog treat	2017	5	16		North America	Canada							Enteritidis (Predicted)				FDA Center for Food Safety and Applied Nutrition			PRJNA186035	SRP018785	SAMN07253304	SRS2315520	2017-06-28	2017-06-27	Assembled	94	451725	4702361	Salmonella enterica;100.0%	37	2820	3.61	SAL_TA6240AA_AS
SAL_TA1242AA	CE-M-10-4056	SRR8003928;ILLUMINA;Paired;;SRX4838440;;;SRA	SAL_TA1242AA	Poultry	Poultry	chicken	2010				North America	Canada	Ontario						Heidelberg (predicted)	I			National Microbiology Laboratory			PRJNA298211	SRP064639	SAMN05263523	SRS3904138	2018-10-13	2018-10-12	Assembled	124	412096	4806342	Salmonella enterica;97.15%	45	17981	4	SAL_EB9253AA_AS
SAL_TA6619AA	SAL-18-VL-OH-ON-0023	SRR8144759;ILLUMINA;Paired;500;SRX4965416;;;SRA	SAL_TA6619AA	Poultry	Poultry	veterinary clinical/research| chicken; Internal organs (Gallus gallus domesticus)	2018	6			North America	Canada							Enteritidis	I			FDA Center for Food Safety and Applied Nutrition			PRJNA316452	SRP115297	SAMN10359259	SRS4004905	2018-11-07	2018-11-02	Assembled	80	111466	4727677	Salmonella enterica;98.99%	104	54573	4	SAL_FB5774AA_AS
SAL_WA5254AA	FDA875794-001-001	SRR8888372;ILLUMINA;Paired;500;SRX5674093;;;SRA	SAL_WA5254AA	Poultry	Poultry	chicken; emulsified chicken	2019	3	13		North America	Canada											FDA Center for Food Safety and Applied Nutrition			PRJNA186035	SRP018785	SAMN11404260	SRS4616349	2019-04-12	2019-04-12	Assembled	249	201826	4660381	Salmonella enterica;92.6%	69	27737	4	SAL_LB4576AA_AS
SAL_CB1340AA	SAL-19-VL-ON-ON-0019	SRR10990270;ILLUMINA;Paired;500;SRX7651681;;;SRA	SAL_CB1340AA	Poultry	Poultry	chicken; heart (Gallus gallus domesticus)	2019	5			North America	Canada							4,[5],12:I:-	I			FDA Center for Food Safety and Applied Nutrition			PRJNA503850	SRP246143	SAMN13945420	SRS6087137	2020-02-14	2020-01-31	Assembled	68	223423	4875781	Salmonella enterica;98.31%	84	7464	4.1	SAL_AC6729AA_AS
SAL_EB5736AA	PNCS007295	SRR12704110;ILLUMINA;Paired;;SRX9183262;;;SRA	SAL_EB5736AA	Poultry	Poultry	chicken	2012	3	6		North America	Canada							Typhimurium	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN16248635	SRS7420123	2020-09-30	2020-09-24	Assembled	142	234653	4909384	Salmonella enterica;100.0%	77	40982	4.1	SAL_KC6403AA_AS
SAL_EB5737AA	PNCS007257	SRR12704111;ILLUMINA;Paired;;SRX9183261;;;SRA	SAL_EB5737AA	Poultry	Poultry	chicken	2011	3	2		North America	Canada							Typhimurium	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN16248634	SRS7420122	2020-09-30	2020-09-24	Assembled	122	212402	4908985	Salmonella enterica;98.21%	80	28184	4.1	SAL_KC5714AA_AS
SAL_EB5740AA	PNCS007256	SRR12704114;ILLUMINA;Paired;;SRX9183258;;;SRA	SAL_EB5740AA	Poultry	Poultry	chicken	2011	2	16		North America	Canada							Enteritidis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN16248633	SRS7420119	2020-09-30	2020-09-24	Assembled	202	99077	4592649	Salmonella enterica;97.68%	93	102181	4.1	SAL_KC5711AA_AS
SAL_EB5752AA	PNCS007255	SRR12704126;ILLUMINA;Paired;;SRX9183246;;;SRA	SAL_EB5752AA	Poultry	Poultry	chicken	2011	2	8		North America	Canada							Enteritidis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN16248632	SRS7420107	2020-09-30	2020-09-24	Assembled	192	83780	4644333	Salmonella enterica;99.05%	114	122123	4.1	SAL_KC5699AA_AS
SAL_EB5753AA	PNCS007368	SRR12704127;ILLUMINA;Paired;;SRX9183245;;;SRA	SAL_EB5753AA	Poultry	Poultry	chicken	2013	11	26		North America	Canada							Typhimurium	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN16248636	SRS7420106	2020-09-30	2020-09-24	Assembled	143	271001	5086486	Salmonella enterica;93.1%	83	37648	4.1	SAL_KC5698AA_AS
SAL_EB5754AA	PNCS012880	SRR12704128;ILLUMINA;Paired;;SRX9183244;;;SRA	SAL_EB5754AA	Poultry	Poultry	chicken	2014	2	20		North America	Canada							Thompson	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN16248637	SRS7420105	2020-09-30	2020-09-24	Assembled	149	520557	4758708	Salmonella enterica;95.65%	40	11756	4.1	SAL_KC5697AA_AS
SAL_EB5772AA	PNCS007244	SRR12704079;ILLUMINA;Paired;;SRX9183198;;;SRA	SAL_EB5772AA	Poultry	Poultry	chicken	2010	12	23		North America	Canada							Enteritidis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN16248630	SRS7420078	2020-09-30	2020-09-24	Assembled	131	86864	4688166	Salmonella enterica;99.01%	107	80270	4.1	SAL_KC5678AA_AS
SAL_EB5774AA	PNCS007250	SRR12704081;ILLUMINA;Paired;;SRX9183196;;;SRA	SAL_EB5774AA	Poultry	Poultry	chicken	2011	1	5		North America	Canada							Enteritidis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN16248631	SRS7420076	2020-09-30	2020-09-24	Assembled	150	177839	4676535	Salmonella enterica;98.31%	70	65004	4.1	SAL_KC5676AA_AS
SAL_GB7252AA	PNCS002519	SRR13933688;ILLUMINA;Paired;;SRX10313039;;;SRA	SAL_GB7252AA	Poultry	Poultry	chicken	2016				North America	Canada							Infantis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN18210997	SRS8433522	2021-03-13	2021-03-12	Assembled	47	216436	4654147	Salmonella enterica;97.22%	46	10866	4.1	SAL_NC9488AA_AS
SAL_IB5873AA	PNCS004856	SRR15044071;ILLUMINA;Paired;;SRX11354716;;;SRA	SAL_IB5873AA	Poultry	Poultry	chicken	2017				North America	Canada							Enteritidis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN18211053	SRS9401636	2021-07-06	2021-07-05	Assembled	243	492231	4699874	Salmonella enterica;95.0%	35	7146	4.1	SAL_QC4249AA_AS
SAL_IB5890AA	PNCS002507	SRR15043784;ILLUMINA;Paired;;SRX11354452;;;SRA	SAL_IB5890AA	Poultry	Poultry	Frozen breaded chicken	2016				North America	Canada							Infantis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN18211016	SRS9401373	2021-07-06	2021-07-05	Assembled	104	263787	4685926	Salmonella enterica;100.0%	45	5980	4.1	SAL_QC4232AA_AS
SAL_IB5891AA	PNCS004857	SRR15043785;ILLUMINA;Paired;;SRX11354451;;;SRA	SAL_IB5891AA	Poultry	Poultry	chicken	2017				North America	Canada							Enteritidis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN18210999	SRS9401372	2021-07-06	2021-07-05	Assembled	236	492231	4699817	Salmonella enterica;95.0%	35	6733	4.1	SAL_QC4231AA_AS
SAL_IB5898AA	PNCS002506	SRR15043792;ILLUMINA;Paired;;SRX11354444;;;SRA	SAL_IB5898AA	Poultry	Poultry	Frozen breaded chicken	2016				North America	Canada							Infantis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN18211015	SRS9401365	2021-07-06	2021-07-05	Assembled	164	263787	4784729	Salmonella enterica;96.78%	49	8087	4.1	SAL_QC4224AA_AS
SAL_IB5901AA	PNCS004858	SRR15043795;ILLUMINA;Paired;;SRX11354441;;;SRA	SAL_IB5901AA	Poultry	Poultry	chicken	2017				North America	Canada							Enteritidis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN18211000	SRS9401362	2021-07-06	2021-07-05	Assembled	185	490599	4698894	Salmonella enterica;95.0%	32	6931	4.1	SAL_QC4221AA_AS
SAL_IB5904AA	PNCS004854	SRR15043798;ILLUMINA;Paired;;SRX11354438;;;SRA	SAL_IB5904AA	Poultry	Poultry	chicken	2017				North America	Canada							Enteritidis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN18211001	SRS9401359	2021-07-06	2021-07-05	Assembled	121	492054	4697993	Salmonella enterica;94.74%	30	6283	4.1	SAL_QC4218AA_AS
SAL_IB5905AA	PNCS004855	SRR15043799;ILLUMINA;Paired;;SRX11354437;;;SRA	SAL_IB5905AA	Poultry	Poultry	chicken	2017				North America	Canada							Enteritidis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN18211002	SRS9401358	2021-07-06	2021-07-05	Assembled	104	681953	4697010	Salmonella enterica;95.65%	30	11573	4.1	SAL_QC4217AA_AS
SAL_IB5908AA	PNCS004853	SRR15043802;ILLUMINA;Paired;;SRX11354434;;;SRA	SAL_IB5908AA	Poultry	Poultry	chicken	2017				North America	Canada							Enteritidis	I			National Microbiology Laboratory			PRJNA543337	SRP199206	SAMN18210998	SRS9401355	2021-07-06	2021-07-05	Assembled	266	492206	4697247	Salmonella enterica;95.0%	33	6939	4.1	SAL_QC4214AA_AS
SAL_JB7538AA	Kentucky	SRR15242648;ILLUMINA;Paired;;SRX11548613;;;SRA	SAL_JB7538AA	Human	Human	Homo sapiens; chicken	2014	9	29		North America	Canada	Quebec										National Microbiology Laboratory			PRJNA746107	SRP329800	SAMN20181581	SRS9584187	2021-10-01	2021-08-29	Assembled	79	228056	5020207	Salmonella enterica;69.85%	85	16224	4.1	SAL_RC8434AA_AS
SAL_JB7539AA	Kentucky	SRR15242649;ILLUMINA;Paired;;SRX11548612;;;SRA	SAL_JB7539AA	Human	Human	Homo sapiens; chicken	2015	12	9		North America	Canada	Quebec										National Microbiology Laboratory			PRJNA746107	SRP329800	SAMN20181594	SRS9584186	2021-10-01	2021-08-29	Assembled	82	101206	5012244	Salmonella enterica;83.73%	105	131469	4.1	SAL_RC8433AA_AS
SAL_JB7542AA	Kentucky	SRR15242652;ILLUMINA;Paired;;SRX11548609;;;SRA	SAL_JB7542AA	Human	Human	Homo sapiens; chicken	2014	3	20		North America	Canada	Ontario										National Microbiology Laboratory			PRJNA746107	SRP329800	SAMN20181570	SRS9584183	2021-10-01	2021-08-29	Assembled	94	161877	5015783	Salmonella enterica;76.55%	72	22440	4.1	SAL_RC8430AA_AS
SAL_JB7543AA	Typhimurium	SRR15242653;ILLUMINA;Paired;;SRX11548608;;;SRA	SAL_JB7543AA	Human	Human	Homo sapiens; chicken	2015	4	13		North America	Canada	British Columbia										National Microbiology Laboratory			PRJNA746107	SRP329800	SAMN20181586	SRS9584182	2021-10-01	2021-08-29	Assembled	93	256683	4927017	Salmonella enterica;93.49%	48	15305	4.1	SAL_RC8429AA_AS
SAL_JB7544AA	Kentucky	SRR15242654;ILLUMINA;Paired;;SRX11548607;;;SRA	SAL_JB7544AA	Human	Human	Homo sapiens; chicken	2016	9	19		North America	Canada	Quebec										National Microbiology Laboratory			PRJNA746107	SRP329800	SAMN20181610	SRS9584181	2021-10-01	2021-08-29	Assembled	71	127897	5015196	Salmonella enterica;79.52%	99	15807	4.1	SAL_RC8428AA_AS
SAL_JB7545AA	Heidelberg	SRR15242655;ILLUMINA;Paired;;SRX11548606;;;SRA	SAL_JB7545AA	Human	Human	Homo sapiens; chicken	2015	12	1		North America	Canada	Quebec										National Microbiology Laboratory			PRJNA746107	SRP329800	SAMN20181592	SRS9584180	2021-10-01	2021-08-29	Assembled	118	258520	5043469	Salmonella enterica;97.78%	64	26155	4.1	SAL_RC8427AA_AS
SAL_JB7548AA	Infantis	SRR15242658;ILLUMINA;Paired;;SRX11548603;;;SRA	SAL_JB7548AA	Human	Human	Homo sapiens; chicken	2016	11	13		North America	Canada	Ontario										National Microbiology Laboratory			PRJNA746107	SRP329800	SAMN20181612	SRS9584177	2021-10-01	2021-08-29	Assembled	73	203546	4755208	Salmonella enterica;97.61%	49	11195	4.1	SAL_RC8424AA_AS
SAL_JB7549AA	Kentucky	SRR15242659;ILLUMINA;Paired;;SRX11548602;;;SRA	SAL_JB7549AA	Human	Human	Homo sapiens; chicken	2015	11	23		North America	Canada	British Columbia										National Microbiology Laboratory			PRJNA746107	SRP329800	SAMN20181593	SRS9584176	2021-10-01	2021-08-29	Assembled	102	99754	5012553	Salmonella enterica;81.93%	112	84601	4.1	SAL_RC8423AA_AS
